NIST,PCI
AC-1,12.3.9
PM-13,12.4
AT-3,12.4
PM-13,12.4
AT-2,12.4
PM-2,12.4
PM-1,12.4
PS-7,12.4
PM-11,12.4
PS-7,12.4
CP-2,12.4
PM-13,12.5
IR-2,12.5
AT-3,12.5
PM-13,12.5
AT-3,12.5
PM-2,12.5
PM-1,12.5
PS-7,12.5
PM-11,12.5
PS-7,12.5
CP-2,12.5
RA-5,12.5.2
RA-3,12.5.2
CA-7,12.5.2
IR-4,12.5.2
IR-4,12.5.2
IR-8,12.5.2
IR-5,12.5.2
IR-4,12.5.2
CP-2,12.5.2
IR-4,12.5.2
AU-7,12.5.2
IR-4,12.5.2
CP-2,12.5.2
SI-4,12.5.2
PE-6,12.5.2
IR-5,12.5.2
IR-4,12.5.2
CA-7,12.5.2
AU-6,12.5.2
PM-14,12.5.2
CA-7,12.5.2
CA-2,12.5.2
IR-8,12.5.2
IR-5,12.5.2
IR-4,12.5.2
SI-4,12.5.2
RA-3,12.5.2
IR-4,12.5.2
CP-2,12.5.2
SI-4,12.5.2
IR-4,12.5.2
CA-7,12.5.2
AU-6,12.5.2
PE-17,12.5.3
IR-9,12.5.3
IR-8,12.5.3
IR-7,12.5.3
CP-13,12.5.3
CP-12,12.5.3
CP-7,12.5.3
CP-2,12.5.3
PM-13,12.6
AT-3,12.6
PM-13,12.6
AT-2,12.6
SA-21,12.7
PS-8,12.7
PS-7,12.7
PS-6,12.7
PS-5,12.7
PS-4,12.7
PS-3,12.7
PS-2,12.7
PS-1,12.7
SA-16,12.8
SA-9,12.8
PS-7,12.8
SA-12,12.8
SA-9,12.8
PS-7,12.8
AU-16,12.8
AU-12,12.8
AU-6,12.8
AU-2,12.8
PM-9,12.8
SA-12,12.8
SA-11,12.8
SA-9,12.8
PM-9,12.8
SA-15,12.8
SA-14,12.8
SA-12,12.8
RA-3,12.8
RA-2,12.8
PM-9,12.8
SA-12,12.8
SA-9,12.8
PM-11,12.8
PS-7,12.8
CP-2,12.8
SA-16,12.9
SA-9,12.9
PS-7,12.9
PM-9,12.9
SA-12,12.9
SA-9,12.9
PM-11,12.9
PS-7,12.9
CP-2,12.9
SC-7,2.2
AC-10,2.2
AC-4,2.2
PE-16,2.4
MP-6,2.4
CM-8,2.4
PM-5,2.4
CM-8,2.4
PM-5,2.4
CM-8,2.4
SI-4,2.5
CA-7,2.5
AC-21,2.5
SA-10,2.5
CM-9,2.5
CM-7,2.5
CM-6,2.5
CM-5,2.5
CM-4,2.5
CM-3,2.5
CM-2,2.5
PM-11,2.5
PM-10,2.5
PM-9,2.5
PM-7,2.5
PM-3,2.5
SA-2,2.5
MP-6,3.1
SC-28,3.1
SC-12,3.1
MP-8,3.1
SC-28,3.3
SC-12,3.3
MP-8,3.3
MP-8,3.4
MP-7,3.4
MP-5,3.4
MP-4,3.4
MP-3,3.4
MP-2,3.4
SC-28,3.4
SC-12,3.4
MP-8,3.4
SC-28,3.5
SC-12,3.5
MP-8,3.5
SC-28,3.6
SC-12,3.6
MP-8,3.6
SI-4,3.7
CA-7,3.7
AC-21,3.7
SA-10,3.7
CM-9,3.7
CM-7,3.7
CM-6,3.7
CM-5,3.7
CM-4,3.7
CM-3,3.7
CM-2,3.7
SC-28,3.7
SC-12,3.7
MP-8,3.7
PM-11,3.7
PM-10,3.7
PM-9,3.7
PM-7,3.7
PM-3,3.7
SA-2,3.7
SC-43,4.1
SC-41,4.1
SC-40,4.1
SC-39,4.1
SC-38,4.1
SC-37,4.1
SC-36,4.1
SC-32,4.1
SC-29,4.1
SC-25,4.1
SC-24,4.1
SC-23,4.1
SC-22,4.1
SC-21,4.1
SC-20,4.1
SC-19,4.1
SC-7,4.1
CP-8,4.1
AC-18,4.1
AC-17,4.1
AC-4,4.1
SC-12,4.1
SC-11,4.1
SC-8,4.1
SC-12,4.2
SC-11,4.2
SC-8,4.2
SI-4,4.3
CA-7,4.3
AC-21,4.3
SA-10,4.3
CM-9,4.3
CM-7,4.3
CM-6,4.3
CM-5,4.3
CM-4,4.3
CM-3,4.3
CM-2,4.3
SC-12,4.3
SC-11,4.3
SC-8,4.3
PM-11,4.3
PM-10,4.3
PM-9,4.3
PM-7,4.3
PM-3,4.3
SA-2,4.3
SI-4,5.4
CA-7,5.4
AC-21,5.4
SA-10,5.4
CM-9,5.4
CM-7,5.4
CM-6,5.4
CM-5,5.4
CM-4,5.4
CM-3,5.4
CM-2,5.4
PM-11,5.4
PM-10,5.4
PM-9,5.4
PM-7,5.4
PM-3,5.4
SA-2,5.4
SI-2,6.1
RA-5,6.1
RA-3,6.1
PM-11,6.1
PM-9,6.1
SA-14,6.1
RA-3,6.1
RA-2,6.1
PM-16,6.1
PM-12,6.1
SI-5,6.1
RA-3,6.1
PM-16,6.1
PM-15,6.1
SI-5,6.1
SI-5,6.1
SI-4,6.1
SI-2,6.1
SA-11,6.1
SA-5,6.1
RA-5,6.1
RA-3,6.1
CA-8,6.1
CA-7,6.1
CA-2,6.1
MA-6,6.2
MA-5,6.2
MA-3,6.2
MA-2,6.2
SI-2,6.2
RA-5,6.2
RA-3,6.2
SC-7,6.2
AC-10,6.2
AC-4,6.2
CM-2,6.4.1
CM-2,6.4.2
AC-24,6.4.2
AC-16,6.4.2
AC-14,6.4.2
AC-6,6.4.2
AC-5,6.4.2
AC-3,6.4.2
AC-2,6.4.2
AC-1,6.4.2
PM-13,6.5
AT-2,6.5
SI-4,6.7
CA-7,6.7
AC-21,6.7
SA-10,6.7
CM-9,6.7
CM-7,6.7
CM-6,6.7
CM-5,6.7
CM-4,6.7
CM-3,6.7
CM-2,6.7
PM-11,6.7
PM-10,6.7
PM-9,6.7
PM-7,6.7
PM-3,6.7
SA-2,6.7
CM-7,7.1
AC-3,7.1
PS-3,7.1
